,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
0,,Pakistan v West Indies T20I Series,,2016-09-23,T20,568,Imad Wasim,Pakistan,{'wickets': 9},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium
1,,Pakistan v West Indies T20I Series,,2016-09-23,T20,568,Imad Wasim,Pakistan,{'wickets': 9},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium
2,,Pakistan v West Indies T20I Series,,2016-09-23,T20,568,Imad Wasim,Pakistan,{'wickets': 9},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium
3,,Pakistan v West Indies T20I Series,,2016-09-23,T20,568,Imad Wasim,Pakistan,{'wickets': 9},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium
4,,Pakistan v West Indies T20I Series,,2016-09-23,T20,568,Imad Wasim,Pakistan,{'wickets': 9},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium
5,,Pakistan v West Indies T20I Series,,2016-09-23,T20,568,Imad Wasim,Pakistan,{'wickets': 9},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Dubai International Cricket Stadium
6,,Pakistan v West Indies T20I Series,,2016-09-24,T20,569,Sarfraz Ahmed,Pakistan,{'runs': 16},20,2016/17,international,Pakistan,West Indies,West Indies,field,Dubai International Cricket Stadium
7,Abu Dhabi,Pakistan v West Indies T20I Series,,2016-09-27,T20,570,Imad Wasim,Pakistan,{'wickets': 8},20,2016/17,international,Pakistan,West Indies,Pakistan,field,Sheikh Zayed Stadium
8,Barbados,Pakistan in West Indies T20I Series,,2017-03-26,T20,602,Shadab Khan,Pakistan,{'wickets': 6},20,2017,international,West Indies,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown"
9,Trinidad,Pakistan in West Indies T20I Series,,2017-03-30,T20,603,Shadab Khan,Pakistan,{'runs': 3},20,2017,international,West Indies,Pakistan,West Indies,field,"Queen's Park Oval, Port of Spain"
10,Trinidad,Pakistan in West Indies T20I Series,,2017-04-01,T20,604,E Lewis,West Indies,{'wickets': 7},20,2017,international,West Indies,Pakistan,Pakistan,bat,"Queen's Park Oval, Port of Spain"
11,Trinidad,Pakistan in West Indies T20I Series,,2017-04-02,T20,605,Hasan Ali,Pakistan,{'wickets': 7},20,2017,international,West Indies,Pakistan,Pakistan,field,"Queen's Park Oval, Port of Spain"
12,Wellington,Pakistan tour of New Zealand,,2018-01-22,T20,639,C Munro,New Zealand,{'wickets': 7},20,2017/18,international,Pakistan,New Zealand,New Zealand,field,Westpac Stadium
13,Auckland,Pakistan tour of New Zealand,,2018-01-25,T20,640,Fakhar Zaman,Pakistan,{'runs': 48},20,2017/18,international,Pakistan,New Zealand,Pakistan,bat,Eden Park
14,Mount Maunganui,Pakistan tour of New Zealand,,2018-01-28,T20,641,Shadab Khan,Pakistan,{'runs': 18},20,2017/18,international,Pakistan,New Zealand,Pakistan,bat,Bay Oval
15,Lahore,Independence Cup,,2017-09-12,T20,619,Babar Azam,Pakistan,{'runs': 20},20,2017/18,international,Pakistan,ICC World XI,ICC World XI,field,Gaddafi Stadium
16,Lahore,Independence Cup,,2017-09-13,T20,620,NLTC Perera,ICC World XI,{'wickets': 7},20,2017/18,international,Pakistan,ICC World XI,Pakistan,bat,Gaddafi Stadium
17,Lahore,Independence Cup,,2017-09-15,T20,621,Ahmed Shehzad,Pakistan,{'runs': 33},20,2017/18,international,Pakistan,ICC World XI,ICC World XI,field,Gaddafi Stadium
18,Abu Dhabi,Sri Lanka tour of United Arab Emirates and Pakistan,,2017-10-26,T20,625,Usman Shinwari,Pakistan,{'wickets': 7},20,2017/18,international,Sri Lanka,Pakistan,Pakistan,field,Sheikh Zayed Stadium
19,Abu Dhabi,Sri Lanka tour of United Arab Emirates and Pakistan,,2017-10-27,T20,627,Shadab Khan,Pakistan,{'wickets': 2},20,2017/18,international,Sri Lanka,Pakistan,Pakistan,field,Sheikh Zayed Stadium
20,Lahore,Sri Lanka tour of United Arab Emirates and Pakistan,,2017-10-29,T20,629,Shoaib Malik,Pakistan,{'runs': 36},20,2017/18,international,Pakistan,Sri Lanka,Sri Lanka,field,Gaddafi Stadium
21,Edinburgh,"Pakistan tour of Ireland, England and Scotland",,2018-06-12,T20,671,Sarfraz Ahmed,Pakistan,{'runs': 48},20,2018,international,Pakistan,Scotland,Pakistan,bat,"Grange Cricket Club, Raeburn Place"
22,Edinburgh,"Pakistan tour of Ireland, England and Scotland",,2018-06-13,T20,673,Usman Shinwari,Pakistan,{'runs': 84},20,2018,international,Pakistan,Scotland,Pakistan,bat,"Grange Cricket Club, Raeburn Place"
23,Karachi,West Indies tour of Pakistan,,2018-04-01,T20,663,Hussain Talat,Pakistan,{'runs': 143},20,2018,international,Pakistan,West Indies,West Indies,field,National Stadium
24,Karachi,West Indies tour of Pakistan,,2018-04-02,T20,664,Babar Azam,Pakistan,{'runs': 82},20,2018,international,Pakistan,West Indies,Pakistan,bat,National Stadium
25,Karachi,West Indies tour of Pakistan,,2018-04-03,T20,665,Fakhar Zaman,Pakistan,{'wickets': 8},20,2018,international,West Indies,Pakistan,West Indies,bat,National Stadium
26,,Zimbabwe Twenty20 Tri-Series,,2018-07-01,T20,681,Asif Ali,Pakistan,{'runs': 74},20,2018,international,Pakistan,Zimbabwe,Zimbabwe,field,Harare Sports Club
